distancia_km,pasajeros,hora_recoleccion,zona_origen,zona_destino,duracion_minutos
7.000628999999999,1,0,95,216,14.583333333333334
2.3174495999999998,3,14,95,95,11.216666666666667
19.1350526,2,4,157,166,29.866666666666667
9.446825800000001,1,11,74,48,25.2
2.6393176,1,16,75,263,8.35
5.9062778,2,14,260,112,18.766666666666666
1.9955816,1,14,42,69,8.466666666666667
1.8507409999999997,1,8,74,41,8.8
1.448406,1,9,166,238,3.3333333333333335
1.4162192,1,9,74,166,10.833333333333334
6.9201619999999995,1,23,255,229,17.433333333333334
5.5844098,1,12,74,141,24.916666666666668
4.345218,1,13,74,238,18.3
10.782578,1,19,74,138,14.733333333333333
14.48406,1,15,244,229,45.71666666666667
2.2691694,1,19,134,197,9.916666666666666
3.6371084,1,8,55,21,10.933333333333334
8.690436,1,21,130,219,18.283333333333335
2.8324384,3,13,33,40,12.116666666666667
1.0943512,1,15,74,41,5.166666666666667
8.6743426,2,11,75,244,14.616666666666667
11.5389678,1,7,195,68,26.983333333333334
2.1565156,1,15,75,151,7.616666666666666
3.7014819999999995,1,17,74,238,17.3
4.473965199999999,1,13,75,141,20.866666666666667
1.4966862,1,17,43,236,9.633333333333333
1.5932466,1,19,74,75,4.566666666666666
6.2442392,5,19,7,161,21.183333333333334
33.5708324,1,3,152,1,32.1
1.689807,1,9,75,74,5.0
10.364149600000001,1,17,244,241,34.9
3.6371084,1,16,43,239,19.35
6.7270411999999995,1,14,166,243,20.65
2.9129054,1,15,95,196,24.666666666666668
4.8923936,1,18,74,239,14.266666666666667
3.7497622,1,20,74,116,14.2
2.1082354,5,18,7,179,11.483333333333333
2.4622902,1,5,74,75,10.883333333333333
2.5910374000000003,1,23,74,42,6.433333333333334
3.379614,1,13,65,17,16.6
1.9312079999999998,2,22,260,226,11.683333333333334
4.908487,1,16,74,140,14.0
10.814764799999999,1,18,66,85,35.36666666666667
4.3291246,1,14,74,262,18.383333333333333
11.023978999999999,1,21,260,144,24.066666666666666
2.3013562,1,18,75,263,7.183333333333334
2.2530759999999996,1,12,166,116,8.35
1.4805928000000002,1,13,74,236,10.083333333333334
2.4301034,1,10,179,146,9.45
4.5222454,1,18,130,121,16.55
3.2830536,2,16,75,142,21.783333333333335
13.8081372,1,13,166,232,30.783333333333335
2.1565156,1,7,74,75,7.8
1.3518455999999999,1,9,41,74,5.316666666666666
1.8829277999999998,1,17,92,73,12.466666666666667
11.6838084,1,9,244,163,26.7
3.6853886,1,12,95,28,9.966666666666667
1.448406,1,11,75,236,7.316666666666666
10.7342978,1,7,41,68,17.866666666666667
16.5922954,1,22,223,114,29.316666666666666
3.4600809999999997,2,18,260,260,12.75
1.448406,1,6,74,42,5.833333333333333
4.2808444,1,11,43,142,18.133333333333333
2.1565156,1,7,74,75,13.6
5.8419042,1,6,74,140,11.733333333333333
3.8946028,1,8,116,151,8.466666666666667
2.0760486,1,10,65,40,12.25
5.037234199999999,1,21,43,162,21.933333333333334
1.367939,1,7,74,75,4.716666666666667
3.3313338,2,12,65,17,12.516666666666667
5.5361296,1,18,75,141,22.216666666666665
0.4667086,1,13,41,41,2.95
5.8258108,1,23,65,112,17.65
4.345218,1,21,33,87,10.55
11.426314,1,8,223,255,42.916666666666664
3.781949,2,17,43,142,12.916666666666666
1.9473014,2,20,65,49,7.55
17.4452456,1,19,130,7,25.75
3.5083612000000004,1,13,260,146,14.55
5.874091,1,14,75,229,16.95
9.334171999999999,2,12,244,142,18.183333333333334
6.7270411999999995,1,11,130,191,18.766666666666666
4.9245804,1,21,75,162,17.816666666666666
3.5727348,1,14,166,239,11.35
12.955187,1,13,82,17,34.733333333333334
5.9062778,6,14,43,170,28.983333333333334
1.528873,1,14,75,236,6.583333333333333
2.172609,6,15,82,129,13.5
4.8923936,1,9,74,244,23.733333333333334
2.2530759999999996,1,18,223,223,6.733333333333333
4.8602068,1,14,82,70,10.133333333333333
3.2830536,1,17,75,166,11.183333333333334
9.65604,1,14,75,68,38.63333333333333
2.41401,1,18,75,262,11.733333333333333
2.3657298,1,17,74,152,12.383333333333333
2.41401,1,8,74,75,26.183333333333334
2.2530759999999996,2,22,97,49,10.6
3.621015,1,10,130,197,11.883333333333333
9.495106,1,19,75,107,25.116666666666667
0.7724831999999999,1,10,74,74,3.3833333333333333
2.2530759999999996,1,18,41,24,9.233333333333333
4.2486576000000005,1,8,43,230,15.483333333333333
0.7563898,1,10,41,74,4.666666666666667
3.4439876000000003,1,18,75,239,11.5
2.7036911999999997,1,11,74,75,11.816666666666666
0.32186800000000004,1,18,75,75,1.25
5.246448399999999,2,4,80,49,14.466666666666667
2.1887024,1,15,74,41,7.733333333333333
2.6715044,1,19,95,102,15.116666666666667
2.2369825999999997,1,7,74,75,12.733333333333333
5.0533276,1,9,129,164,22.483333333333334
2.4301034,1,23,83,82,11.883333333333333
6.759228,1,11,65,89,20.966666666666665
2.2208892,1,17,166,238,9.783333333333333
1.8990212,5,20,7,179,7.066666666666666
2.9772790000000002,1,12,74,236,8.95
8.3202878,1,7,243,41,11.3
8.207633999999999,1,9,74,143,16.816666666666666
2.0438618,1,10,74,168,7.966666666666667
2.6875978,1,20,95,28,5.883333333333334
3.8141358000000003,1,17,74,236,13.416666666666666
3.8946028,2,18,82,129,12.233333333333333
1.7702740000000001,1,15,74,41,7.783333333333333
5.63269,1,9,74,140,12.15
2.3335429999999997,1,8,74,75,13.75
1.6737136000000001,1,19,82,129,10.816666666666666
1.9312079999999998,1,16,74,42,13.583333333333334
1.1909116,5,23,223,223,3.35
13.1644012,1,14,75,45,27.433333333333334
6.43736,1,8,82,138,11.616666666666667
2.7519714,2,8,74,75,15.45
3.0416526,1,20,24,239,11.333333333333334
0.6276426,1,16,75,236,1.7833333333333334
2.2530759999999996,6,11,75,263,13.483333333333333
2.8807186000000002,1,9,75,237,10.9
6.3086128,2,12,75,167,24.633333333333333
6.469546799999999,1,14,74,243,25.95
2.2208892,1,16,95,95,11.183333333333334
2.2852628,1,19,43,262,10.516666666666667
1.7541806000000002,1,11,97,189,6.4
3.0255592,1,16,196,173,15.866666666666667
3.057746,1,18,41,166,10.416666666666666
2.0760486,1,17,65,49,12.616666666666667
2.5749440000000003,1,7,74,75,9.5
5.5844098,1,14,130,131,20.116666666666667
2.6393176,1,7,152,244,10.216666666666667
15.674971600000001,1,8,33,236,36.38333333333333
2.5427572,1,9,75,237,9.15
3.3635205999999997,1,16,97,181,13.366666666666667
2.9611856000000003,1,20,95,95,9.133333333333333
3.379614,1,18,65,61,14.033333333333333
2.5427572,1,15,42,74,13.816666666666666
2.4461968,1,20,130,134,10.133333333333333
0.5793623999999999,1,15,75,75,4.216666666666667
9.0444908,1,13,166,164,24.033333333333335
1.2874720000000002,1,19,75,263,5.966666666666667
2.2530759999999996,1,17,97,49,10.683333333333334
12.07005,1,11,65,161,22.516666666666666
2.655411,1,17,95,160,11.883333333333333
0.9012304000000001,1,20,83,83,3.933333333333333
11.7320886,3,15,95,146,30.6
8.85137,1,18,74,243,27.75
6.1637722,6,8,166,163,17.166666666666668
1.4162192,1,8,43,263,7.383333333333334
